0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:16:15 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:16:51 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1905
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:16:52 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:17:07 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:17:07 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 262
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:17:23 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:17:23 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:17:50 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:17:50 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:18:09 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:18:09 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 263
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:20:09 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:20:09 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 292
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:20:09 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:20:33 -0400] "GET /Homework2/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:20:33 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:04 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:04 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:26 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:26 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:29 -0400] "GET /Homework2/index.html HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:29 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 309
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:29 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 200 18005
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:30 -0400] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:47 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 200 1920
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:21:47 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:19 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:19 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:20 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:20 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:27 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:27 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:28 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:28 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:34 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:23:34 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 200 325
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:24:13 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 200 1954
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:24:13 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:24:27 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 200 1964
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:24:27 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:20 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 200 1974
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:20 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:21 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:21 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:22 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:36 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 200 1994
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:36 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:58 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 200 1984
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:58 -0400] "GET /Homework2/jhu_logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:25:58 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:29:42 -0400] "GET /Homework2/index.html?name=asdf&email=asdf%40asdf.coin&course=A4&employmentstatus=employee&action=register HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [11/Jun/2019:23:29:42 -0400] "GET /Homework2/jkim342.css HTTP/1.1" 304 -
